Emotion,sentence,token
불안,사소한 것도 잊어버리는데 노후준비를 어디서부터 시작해야 할지 모르겠어.,"['사소한', '것', '도', '잊어버리는데', '노후', '준비', '를', '어디서', '부터', '시작', '해야', '할지', '모르겠어', '.']"
불안,부모님과의 진지한 대화시간을 가져야겠어.,"['부모님', '과의', '진지한', '대화', '시간', '을', '가져야겠어', '.']"
불안,자식이라고 있으면 뭐해. 제 엄마가 어떻게 사는지 관심도 없는데.,"['자식', '이라고', '있으면', '뭐', '해', '.', '제', '엄마', '가', '어떻게', '사는지', '관심', '도', '없는데', '.']"
불안,책을 보거나 핸드폰을 해야겠지.,"['책', '을', '보거나', '핸드폰', '을', '해야겠지', '.']"
불안,평소 난폭한 아들이 병원비를 안 준다고 행패를 부릴까 봐 불안해.,"['평소', '난폭한', '아들', '이', '병원', '비', '를', '안', '준다고', '행패', '를', '부릴까', '봐', '불안해', '.']"
불안,나한테 그런 말은 안 했던 것 같아.,"['나', '한테', '그런', '말', '은', '안', '했던', '것', '같아', '.']"
불안,경제 사정이 좋지 않으니 친구들과 만날 때마다 돈을 먼저 내기가 힘들어.,"['경제', '사정', '이', '좋지', '않으니', '친구', '들', '과', '만날', '때', '마다', '돈', '을', '먼저', '내기', '가', '힘들어', '.']"
불안,정신질환 때문에 퇴직 후 경제력과 소득이 제로야 짜증 나고 힘들어.,"['정신질환', '때문', '에', '퇴직', '후', '경제력', '과', '소득', '이', '제로', '야', '짜증', '나고', '힘들어', '.']"
불안,몸도 어느 정도 회복됐으니 보험 일을 다시 시작해야겠어.,"['몸', '도', '어느', '정도', '회복', '됐으니', '보험', '일', '을', '다시', '시작', '해야겠어', '.']"
불안,회사 사람들에게 다시 나를 지지해달라고 하고 싶은데 나서기가 어렵네.,"['회사', '사람', '들', '에게', '다시', '나를', '지지', '해달라고', '하고', '싶은데', '나서기가', '어렵네', '.']"
불안,언니라고 해서 무조건 양보해야 하는 건 아니라고 생각하는데 자꾸 양보하라니깐 기분이 좋지 않아.,"['언니', '라고', '해서', '무조건', '양보', '해야', '하는', '건', '아니라고', '생각', '하는데', '자꾸', '양보', '하', '라니깐', '기분', '이', '좋지', '않아', '.']"
불안,아픈 신체로 오래 살아서 뭐해? 사는게 뭐 별거야?,"['아픈', '신체', '로', '오래', '살아서', '뭐', '해', '?', '사는게', '뭐', '별거', '야', '?']"
불안,남편이 여자는 집안일이나 하라고 내 직장을 그만두게 했어. 아무것도 하기 싫고 이혼하고 싶어.,"['남편', '이', '여자', '는', '집안일', '이나', '하라', '고', '내', '직장', '을', '그만두게', '했어', '.', '아무', '것', '도', '하기', '싫고', '이혼', '하고', '싶어', '.']"
불안,먼저 아이와 둘이 대화를 좀 해봐야겠어.,"['먼저', '아이', '와', '둘', '이', '대화', '를', '좀', '해봐야겠어', '.']"
불안,나는 실수하면 해고당할지 모른다는 생각이 늘 있어서 항상 걱정스러워.,"['나', '는', '실수', '하면', '해고', '당할지', '모른다는', '생각', '이', '늘', '있어서', '항상', '걱정스러워', '.']"
불안,일정에 맞춰서 산부인과에 입원만 하면 돼. 그때까지 옆에서 잘 도와줘야지.,"['일정', '에', '맞춰서', '산부인과', '에', '입원', '만', '하면', '돼', '.', '그때', '까지', '옆', '에서', '잘', '도와줘야지', '.']"
불안,내 능력이 부족한 거 같은데 그만 다녀야 하려나 봐.,"['내', '능력', '이', '부족한', '거', '같은데', '그만', '다녀야', '하려나', '봐', '.']"
불안,응. 큰애가 수험생이라 걱정이 많아.,"['응', '.', '큰', '애가', '수험생', '이라', '걱정', '이', '많아', '.']"
불안,개인 과외를 받지 않고는 좋은 대학에 갈 수 없다는 현실을 알았어. 너무 불합리해서 기분이 안 좋아.,"['개인', '과외', '를', '받지', '않고는', '좋은', '대학', '에', '갈', '수', '없다는', '현실', '을', '알았어', '.', '너무', '불합리', '해서', '기분', '이', '안', '좋아', '.']"
불안,차근차근 꾸준히 공부하고 풀어나가야겠어. 그러다 보면 좋아지겠지.,"['차근차근', '꾸준히', '공부', '하고', '풀어', '나가야겠어', '.', '그러다', '보면', '좋아지겠지', '.']"
